Long Station Name,Collection Date,EC,Sacramento X2,Location,WYT,Alkalinity
P8 - San Joaquin River @ Buckley Cove,5/1/1975,549,60.77989824,SJRcorridor,W,86
P8 - San Joaquin River @ Buckley Cove,5/1/1975,549,60.77989824,SJRcorridor,W,88
P8 - San Joaquin River @ Buckley Cove,2/2/1968,650,60.82383763,SJRcorridor,BN,90
Contra Costa PP Number 01,5/3/2005,346,60.83995013,OMR,AN,72
P8 - San Joaquin River @ Buckley Cove,1/17/1979,266,60.85168643,SJRcorridor,BN,47
OH1,5/29/2019,79,61,SouthDelta,W,27
ORX,5/29/2019,83,61,SouthDelta,W,26
GLE,5/29/2019,90,61,SouthDelta,W,27
Contra Costa PP Number 01,6/6/1996,277,61.33562885,OMR,W,54
P8 - San Joaquin River @ Buckley Cove,5/20/1980,185,61.52746743,SJRcorridor,AN,30
Middle River at Bacon Island Bridge,5/13/1993,411,61.911538,OMR,AN,70
Clifton Court Intake,5/13/1993,456,61.911538,OMR,AN,63
P8 - San Joaquin River @ Buckley Cove,9/18/1974,529,61.92807121,SJRcorridor,W,112
PDUP,6/12/2019,233,62,SouthDelta,W,40
TWA,6/12/2019,107,62,SouthDelta,W,29
San Joaquin River @ Mossdale Bridge - C7A,5/9/1996,336,62.32099718,SJRcorridor,W,47
Middle River at Bacon Island Bridge,4/21/1993,440,62.38347365,OMR,AN,74
Contra Costa PP Number 01,4/21/1993,265,62.38347365,OMR,AN,62
Rock Slough @ Old River,4/21/1993,211,62.38347365,OMR,AN,57
Old River North of Rock Slough (St 4b),4/21/1993,212,62.38347365,OMR,AN,57
San Joaquin River @ Mossdale Bridge - C7A,4/21/1993,601,62.38347365,SJRcorridor,AN,79
Little Connection Sl. @ Empire Tr.,4/21/1993,145,62.38347365,SJRcorridor,AN,47
Old River nr Tracy,4/21/1993,802,62.38347365,SouthDelta,AN,99
Grant Ln Can @ Tracy Rd Bdg,4/21/1993,615,62.38347365,SouthDelta,AN,83
Middle River @ Union Point - P10A,3/10/2016,321,62.66343249,OMR,BN,72
Middle River @ Union Point - P10A,3/10/2016,321,62.66343249,SouthDelta,BN,72
OH1,1/30/2019,944,63,SouthDelta,W,134
ORX,1/30/2019,928,63,SouthDelta,W,132
GLE,1/30/2019,891,63,SouthDelta,W,129
Contra Costa PP Number 01,1/3/2005,640,63.06546569,OMR,AN,86
Old River @ Middle River,2/25/2009,844,63.13375011,SouthDelta,D,116
Contra Costa PP Number 01,5/12/1993,410,63.16142825,OMR,AN,75
P8 - San Joaquin River @ Buckley Cove,6/3/1975,333,63.4770031,SJRcorridor,W,57
Contra Costa PP Number 01,5/2/2000,381,63.70366373,OMR,AN,73
Middle River @ Union Point - P10A,3/2/2010,483,63.81753273,OMR,BN,82
Middle River @ Union Point - P10A,3/2/2010,483,63.81753273,SouthDelta,BN,82
Contra Costa PP Number 01,1/13/1993,633,64.09402935,OMR,AN,84
Middle River at Bacon Island Bridge,1/13/1993,423,64.09402935,OMR,AN,67
San Joaquin River @ Mossdale Bridge - C7A,1/13/1993,357,64.09402935,SJRcorridor,AN,60
Little Connection Sl. @ Empire Tr.,1/13/1993,247,64.09402935,SJRcorridor,AN,49
Grant Ln Can @ Tracy Rd Bdg,1/13/1993,376,64.09402935,SouthDelta,AN,60
Old River nr Tracy,1/13/1993,332,64.09402935,SouthDelta,AN,59
Middle River @ Union Point - P10A,2/7/2011,334,64.18410148,OMR,W,56
Middle River @ Union Point - P10A,2/7/2011,334,64.18410148,SouthDelta,W,56
P8 - San Joaquin River @ Buckley Cove,10/23/1975,262,64.39367576,SJRcorridor,C,51
Old River @ Middle River,3/16/2009,1043,64.397985,SouthDelta,D,149
P8 - San Joaquin River @ Buckley Cove,5/6/1980,244,64.42849928,SJRcorridor,AN,38
P8 - San Joaquin River @ Buckley Cove,10/1/1974,388,64.58639727,SJRcorridor,W,79
Contra Costa PP Number 01,1/6/1999,459,64.63920091,OMR,W,85
P8 - San Joaquin River @ Buckley Cove,5/15/1975,453,64.74148651,SJRcorridor,W,80
Contra Costa PP Number 01,12/2/1998,289,64.89739823,OMR,W,67
Middle River @ Union Point - P10A,5/7/2018,352,64.92049336,OMR,BN,52
Middle River @ Union Point - P10A,5/7/2018,352,64.92049336,SouthDelta,BN,52
San Joaquin River @ Mossdale Bridge - C7A,6/13/1996,592,65.4871296,SJRcorridor,W,76
Contra Costa PP Number 01,7/12/1995,146,65.49822638,OMR,W,38
Middle River @ Union Point - P10A,3/2/2009,583,65.57301543,OMR,D,89
Middle River @ Union Point - P10A,3/2/2009,583,65.57301543,SouthDelta,D,89
P8 - San Joaquin River @ Buckley Cove,7/1/1975,415,65.61350093,SJRcorridor,W,71
P8 - San Joaquin River @ Buckley Cove,11/18/1974,405,65.81281422,SJRcorridor,W,75
Clifton Court Intake,2/25/1992,554,65.86224313,OMR,C,70
P8 - San Joaquin River @ Buckley Cove,10/16/1974,510,65.9782773,SJRcorridor,W,90
Contra Costa PP Number 01,3/4/2008,361,66.16351777,OMR,C,77
Middle River @ Union Point - P10A,3/4/2008,374,66.16351777,OMR,C,77
Middle River @ Union Point - P10A,3/4/2008,374,66.16351777,SouthDelta,C,77
Contra Costa PP Number 01,2/10/1993,361,66.22571537,OMR,AN,60
Middle River @ Union Point - P10A,4/7/2016,328,66.37589317,OMR,BN,65
Middle River @ Union Point - P10A,4/7/2016,328,66.37589317,SouthDelta,BN,65
P8 - San Joaquin River @ Buckley Cove,11/6/1974,313,66.51113004,SJRcorridor,W,56
Clifton Court Intake,5/7/1986,280,66.57784182,OMR,W,55
Contra Costa PP Number 01,2/7/2005,379,66.68285541,OMR,AN,85
Contra Costa PP Number 01,2/24/1992,793,66.71267132,OMR,C,80
Contra Costa PP Number 01,6/4/2003,293,66.71648137,OMR,AN,64
San Joaquin River at Holt Rd.,1/19/2011,247,66.73352135,SJRcorridor,W,48
P8 - San Joaquin River @ Buckley Cove,9/5/1974,504,66.73838917,SJRcorridor,W,110
P8 - San Joaquin River @ Buckley Cove,6/13/1978,225,66.90227077,SJRcorridor,AN,40
Contra Costa PP Number 01,5/2/1996,516,66.95278638,OMR,W,76
OH1,6/25/2019,107,67,SouthDelta,W,30
ORX,6/25/2019,105,67,SouthDelta,W,30
GLE,6/25/2019,104.5,67,SouthDelta,W,29.5
PDC,6/25/2019,109,67,SouthDelta,W,30
SGA,6/25/2019,128,67,SouthDelta,W,33
San Joaquin River @ Mossdale Bridge - C7A,9/14/1995,387,67.19233682,SJRcorridor,W,57
Contra Costa PP Number 01,9/6/1995,187,67.21706163,OMR,W,55
Old River @ Tracy Road Bridge - P12,3/23/2009,1179,67.34893515,SouthDelta,D,159
Grant Line Canal @ Tracy Blvd,3/23/2009,1156,67.34893515,SouthDelta,D,156
P8 - San Joaquin River @ Buckley Cove,1/13/1978,805,67.39051241,SJRcorridor,AN,84
Contra Costa PP Number 01,7/5/2006,162,67.43685291,OMR,W,38
Middle River @ Union Point - P10A,7/5/2006,154,67.43685291,OMR,W,31
Middle River @ Union Point - P10A,7/5/2006,154,67.43685291,SouthDelta,W,31
Contra Costa PP Number 01,6/2/1999,288,67.44761682,OMR,W,67
Old River @ Middle River,4/16/2009,694,67.73613947,SouthDelta,D,99
Middle River at Bacon Island Bridge,2/9/1993,320,67.78217395,OMR,AN,58
Clifton Court Intake,2/9/1993,345,67.78217395,OMR,AN,58
Contra Costa PP Number 01,9/2/1998,161,67.79734317,OMR,W,51
Middle River @ Union Point - P10A,6/8/2010,288,67.97063022,OMR,BN,53
Middle River @ Union Point - P10A,6/8/2010,288,67.97063022,SouthDelta,BN,53
San Joaquin River @ Mossdale Bridge - C7A,12/12/1996,220,67.9766535,SJRcorridor,W,50
Contra Costa PP Number 01,3/24/1992,421,67.98576989,OMR,C,78
P8 - San Joaquin River @ Buckley Cove,6/18/1980,405,68.21800044,SJRcorridor,AN,51
Old River @ Tracy Road Bridge - P12,5/7/2009,554,68.40551796,SouthDelta,D,78
Grant Line Canal @ Tracy Blvd,5/7/2009,425,68.40551796,SouthDelta,D,64
Clifton Court Intake,3/26/1992,321,68.43776556,OMR,C,74
Middle River at Bacon Island Bridge,3/26/1992,290,68.43776556,OMR,C,72
Middle River @ Union Point - P10A,4/6/2010,441,68.63765096,OMR,BN,82
Middle River @ Union Point - P10A,4/6/2010,441,68.63765096,SouthDelta,BN,82
P8 - San Joaquin River @ Buckley Cove,7/17/1969,360,68.77308425,SJRcorridor,W,64
Contra Costa PP Number 01,8/9/1995,150,68.77947219,OMR,W,38
P8 - San Joaquin River @ Buckley Cove,11/26/1975,472,68.81861425,SJRcorridor,C,79
Contra Costa PP Number 01,1/10/1996,303,68.97868863,OMR,W,65
P8 - San Joaquin River @ Buckley Cove,12/23/1975,422,69.03046395,SJRcorridor,C,73
P8 - San Joaquin River @ Buckley Cove,2/15/1979,493,69.04812625,SJRcorridor,BN,52
Contra Costa PP Number 01,4/6/2004,238,69.18983307,OMR,BN,71
Contra Costa PP Number 01,8/5/2003,348,69.2729812,OMR,AN,60
Contra Costa PP Number 01,6/4/2002,330,69.35185908,OMR,D,71
Contra Costa PP Number 01,10/11/1995,193,69.40952731,OMR,W,51
Contra Costa PP Number 01,7/22/1993,159,69.41514716,OMR,AN,46
P8 - San Joaquin River @ Buckley Cove,10/9/1975,403,69.58169251,SJRcorridor,C,84
Contra Costa PP Number 01,4/1/2003,663,69.81194277,OMR,AN,110
P8 - San Joaquin River @ Buckley Cove,7/1/1980,496,69.91469054,SJRcorridor,AN,57
Contra Costa PP Number 01,7/6/2005,151,69.97360216,OMR,AN,49
Middle River @ Union Point - P10A,7/10/2017,177,70.04911852,OMR,W,32
Middle River @ Union Point - P10A,7/10/2017,177,70.04911852,SouthDelta,W,32
Contra Costa PP Number 01,3/6/2001,753,70.05240742,OMR,D,110
Contra Costa PP Number 01,10/14/1998,208,70.16642583,OMR,W,62
Contra Costa PP Number 01,4/4/2000,391,70.46558651,OMR,AN,74
Clifton Court Intake,6/4/1986,303,70.7018673,OMR,W,52
Contra Costa PP Number 01,2/5/2002,385,70.70857903,OMR,D,86
Clifton Court Intake,8/10/1993,348,70.9026113,OMR,AN,62
Middle River at Bacon Island Bridge,8/10/1993,147,70.9026113,OMR,AN,45
Contra Costa PP Number 01,8/5/1998,190,70.95431958,OMR,W,46
P8 - San Joaquin River @ Buckley Cove,7/16/1980,399,71.00727741,SJRcorridor,AN,50
Contra Costa PP Number 01,5/6/2002,350,71.01564345,OMR,D,85
Old River South of Rock Slough (St 5A),5/17/1984,201,71.23309041,OMR,W,56
P8 - San Joaquin River @ Buckley Cove,8/22/1974,282,71.49326964,SJRcorridor,W,66
Middle River @ Union Point - P10A,1/5/2015,470,71.50190239,OMR,C,70
Middle River @ Union Point - P10A,1/5/2015,470,71.50190239,SouthDelta,C,70
P8 - San Joaquin River @ Buckley Cove,5/1/1973,732,71.50691023,SJRcorridor,AN,102
Contra Costa PP Number 01,8/12/1993,185,71.58781984,OMR,AN,48
Contra Costa PP Number 01,5/13/1997,363,71.63203277,OMR,W,67
San Joaquin River @ Mossdale Bridge - C7A,5/13/1997,346,71.63203277,SJRcorridor,W,53
Clifton Court Intake,3/27/1991,548,71.68911216,OMR,C,68
Contra Costa PP Number 01,8/5/1999,218,71.77110367,OMR,W,58
Contra Costa PP Number 01,2/3/2004,322,71.8099759,OMR,BN,72
P8 - San Joaquin River @ Buckley Cove,5/22/1979,707,71.9435071,SJRcorridor,BN,81
Contra Costa PP Number 01,4/2/2002,295,71.94484474,OMR,D,76
Contra Costa PP Number 01,12/10/1997,1080,71.95083355,OMR,W,102
TWA,7/1/2019,304.5,72,SouthDelta,W,56.5
OH1,7/9/2019,443,72,SouthDelta,W,75
ORX,7/9/2019,422,72,SouthDelta,W,74
GLE,7/9/2019,454,72,SouthDelta,W,76
PDC,7/9/2019,814,72,SouthDelta,W,103
SGA,7/9/2019,606,72,SouthDelta,W,91
PDUP,9/11/2019,1190,72,SouthDelta,W,133.5
TWA,9/11/2019,336,72,SouthDelta,W,57
P8 - San Joaquin River @ Buckley Cove,12/10/1980,504,72.01796665,SJRcorridor,D,61
Contra Costa PP Number 01,4/2/2007,255,72.02877378,OMR,D,66
Middle River @ Union Point - P10A,4/2/2007,318,72.02877378,OMR,D,66
Middle River @ Union Point - P10A,4/2/2007,318,72.02877378,SouthDelta,D,66
Middle River at Bacon Island Bridge,3/25/1991,469,72.32639176,OMR,C,67
P8 - San Joaquin River @ Buckley Cove,9/11/1975,620,72.50531258,SJRcorridor,W,125
P8 - San Joaquin River @ Buckley Cove,8/25/1975,566,72.50785297,SJRcorridor,W,98
Middle River at Bacon Island Bridge,3/24/1994,516,72.52425966,OMR,C,80
Clifton Court Intake,3/24/1994,437,72.52425966,OMR,C,77
Rock Slough @ Old River,3/24/1994,328,72.52425966,OMR,C,75
P8 - San Joaquin River @ Buckley Cove,7/15/1975,560,72.78657388,SJRcorridor,W,85
Contra Costa PP Number 01,4/4/2001,341,72.87905364,OMR,D,82
P8 - San Joaquin River @ Buckley Cove,11/13/1973,647,72.91115416,SJRcorridor,W,98
Contra Costa PP Number 01,6/6/2000,254,72.94579268,OMR,AN,60
PDUP,8/21/2019,1470,73,SouthDelta,W,145
TWA,8/21/2019,231,73,SouthDelta,W,44.9
OH1,9/4/2019,237,73,SouthDelta,W,47
ORX,9/4/2019,238,73,SouthDelta,W,48
GLE,9/4/2019,237,73,SouthDelta,W,46
PDC,9/4/2019,533,73,SouthDelta,W,77
SGA,9/4/2019,252,73,SouthDelta,W,48
PDUP,2/4/2020,1920,73,SouthDelta,D,184
TWA,2/4/2020,760,73,SouthDelta,D,110
GLE,4/21/2020,372,73,SouthDelta,D,60
ORX,4/21/2020,349,73,SouthDelta,D,57
OH1,4/21/2020,345,73,SouthDelta,D,57
PDC,4/21/2020,916.5,73,SouthDelta,D,107
SGA,4/21/2020,976,73,SouthDelta,D,148
Middle River @ Union Point - P10A,5/5/2009,358,73.26168644,OMR,D,76
Middle River @ Union Point - P10A,5/5/2009,358,73.26168644,SouthDelta,D,76
Contra Costa PP Number 01,7/8/1999,211,73.33227294,OMR,W,60
San Joaquin River @ Mossdale Bridge - C7A,7/18/1996,774,73.33974661,SJRcorridor,W,101
P8 - San Joaquin River @ Buckley Cove,9/25/1973,648,73.56187894,SJRcorridor,AN,119
Contra Costa PP Number 01,4/10/1997,272,73.77999403,OMR,W,64
San Joaquin River @ Mossdale Bridge - C7A,4/9/1997,788,73.79612645,SJRcorridor,W,108
Contra Costa PP Number 01,9/5/1996,283,73.8076039,OMR,W,62
P8 - San Joaquin River @ Buckley Cove,10/11/1978,407,73.92111953,SJRcorridor,BN,76
Old River @ Middle River,4/1/2009,1008,73.95020527,SouthDelta,D,135
PDUP,7/24/2019,1860,74,SouthDelta,W,164
TWA,7/24/2019,383,74,SouthDelta,W,68
PDUP,10/2/2019,1430,74,SouthDelta,D,142.5
TWA,10/2/2019,220,74,SouthDelta,D,41
San Joaquin River @ Mossdale Bridge - C7A,10/19/1995,202,74.05131326,SJRcorridor,W,39
Middle River @ Union Point - P10A,2/5/2018,402,74.06112596,OMR,BN,72
Middle River @ Union Point - P10A,2/5/2018,402,74.06112596,SouthDelta,BN,72
P8 - San Joaquin River @ Buckley Cove,5/2/1979,713,74.19905898,SJRcorridor,BN,76
P8 - San Joaquin River @ Buckley Cove,10/15/1973,530,74.39350789,SJRcorridor,W,98
Middle River @ Union Point - P10A,5/2/2007,346,74.44600721,OMR,D,62
Contra Costa PP Number 01,5/2/2007,268,74.44600721,OMR,D,61
Middle River @ Union Point - P10A,5/2/2007,346,74.44600721,SouthDelta,D,62
P8 - San Joaquin River @ Buckley Cove,10/15/1980,272,74.45344406,SJRcorridor,D,41
San Joaquin River @ Mossdale Bridge - C7A,8/17/1995,633,74.57233985,SJRcorridor,W,83
Middle River @ Union Point - P10A,6/5/2018,284,74.73149108,OMR,BN,50
Middle River @ Union Point - P10A,6/5/2018,284,74.73149108,SouthDelta,BN,50
Middle River @ Union Point - P10A,6/2/2009,336,74.90839371,OMR,D,67
Middle River @ Union Point - P10A,6/2/2009,336,74.90839371,SouthDelta,D,67
PDUP,10/29/2019,1580,75,SouthDelta,D,196
TWA,10/29/2019,281,75,SouthDelta,D,53
PDUP,4/29/2020,908,75,SouthDelta,D,110
TWA,4/29/2020,676,75,SouthDelta,D,98
Old River @ Tracy Road Bridge - P12,4/9/2009,1013,75.01511525,SouthDelta,D,133
Grant Line Canal @ Tracy Blvd,4/9/2009,844,75.01511525,SouthDelta,D,116
P8 - San Joaquin River @ Buckley Cove,6/5/1973,390,75.03508802,SJRcorridor,AN,61
P8 - San Joaquin River @ Buckley Cove,2/3/1975,508,75.04331266,SJRcorridor,W,66
Middle River at Bacon Island Bridge,7/8/1993,203,75.05380959,OMR,AN,50
Contra Costa PP Number 01,7/8/1993,159,75.05380959,OMR,AN,48
Old River North of Rock Slough (St 4b),7/8/1993,148,75.05380959,OMR,AN,46
Rock Slough @ Old River,7/8/1993,156,75.05380959,OMR,AN,46
San Joaquin River @ Mossdale Bridge - C7A,7/8/1993,842,75.05380959,SJRcorridor,AN,98
Little Connection Sl. @ Empire Tr.,7/8/1993,120,75.05380959,SJRcorridor,AN,38
Old River nr Tracy,7/8/1993,950,75.05380959,SouthDelta,AN,115
Grant Ln Can @ Tracy Rd Bdg,7/8/1993,855,75.05380959,SouthDelta,AN,104
P8 - San Joaquin River @ Buckley Cove,3/9/1976,827,75.28454988,SJRcorridor,C,100
Middle River @ Union Point - P10A,4/7/2009,314,75.36176628,OMR,D,72
Middle River @ Union Point - P10A,4/7/2009,314,75.36176628,SouthDelta,D,72
